iter	Passed	Remaining
0	169	169504
1	171	85642
2	172	57348
3	173	43130
4	173	34590
5	174	28894
6	175	24892
7	176	21842
8	176	19462
9	177	17617
10	178	16060
11	179	14757
12	179	13660
13	180	12715
14	181	11898
15	182	11194
16	182	10566
17	183	10007
18	184	9505
19	184	9048
20	185	8654
21	186	8282
22	186	7937
23	187	7626
24	188	7347
25	189	7085
26	189	6836
27	190	6603
28	191	6398
29	191	6204
30	192	6020
31	193	5846
32	193	5681
33	194	5527
34	195	5379
35	195	5242
36	196	5110
37	197	4993
38	197	4875
39	198	4760
40	199	4656
41	200	4562
42	201	4481
43	202	4391
44	202	4301
45	203	4217
46	204	4137
47	204	4059
48	205	3985
49	205	3911
50	206	3843
51	207	3775
52	207	3714
53	208	3651
54	209	3591
55	209	3532
56	210	3477
57	210	3425
58	211	3371
59	211	3321
60	212	3272
61	213	3225
62	213	3180
63	214	3143
64	215	3102
65	216	3069
66	217	3029
67	218	2991
68	218	2951
69	219	2914
70	219	2876
71	220	2842
72	221	2810
73	221	2776
74	222	2743
75	223	2712
76	223	2681
77	224	2651
78	224	2621
79	225	2593
80	226	2569
81	227	2544
82	227	2514
83	228	2488
84	228	2463
85	230	2445
86	230	2422
87	231	2399
88	232	2375
89	232	2353
90	233	2330
91	233	2307
92	234	2286
93	235	2266
94	235	2246
95	236	2227
96	237	2208
97	237	2189
98	238	2170
99	239	2152
100	239	2133
101	240	2115
102	241	2100
103	242	2087
104	242	2069
105	243	2053
106	244	2037
107	244	2023
108	245	2008
109	246	1994
110	247	1981
111	247	1965
112	248	1950
113	249	1936
114	249	1921
115	250	1906
116	250	1890
117	251	1878
118	251	1865
119	252	1851
120	253	1837
121	253	1823
122	254	1811
123	254	1799
124	255	1788
125	256	1776
126	256	1764
127	257	1753
128	258	1742
129	258	1730
130	259	1718
131	259	1707
132	260	1698
133	261	1688
134	262	1679
135	262	1668
136	263	1659
137	263	1648
138	264	1639
139	265	1629
140	265	1619
141	266	1608
142	266	1598
143	267	1589
144	268	1580
145	268	1570
146	269	1561
147	269	1553
148	270	1545
149	271	1536
150	271	1528
151	272	1520
152	273	1511
153	273	1503
154	274	1495
155	274	1487
156	275	1480
157	276	1473
158	277	1467
159	278	1460
160	278	1452
161	279	1444
162	280	1438
163	280	1431
164	281	1423
165	281	1416
166	282	1408
167	283	1402
168	283	1395
169	284	1388
170	285	1382
171	285	1375
172	286	1368
173	286	1361
174	287	1354
175	287	1347
176	288	1341
177	289	1335
178	289	1328
179	290	1322
180	291	1319
181	292	1313
182	292	1307
183	293	1301
184	294	1295
185	294	1289
186	295	1283
187	295	1277
188	296	1271
189	297	1266
190	297	1260
191	298	1254
192	298	1249
193	299	1243
194	299	1238
195	300	1232
196	301	1227
197	301	1222
198	302	1217
199	302	1211
200	303	1206
201	304	1201
202	304	1196
203	305	1191
204	306	1188
205	307	1184
206	308	1180
207	308	1174
208	309	1170
209	309	1165
210	310	1160
211	311	1156
212	311	1150
213	312	1146
214	312	1141
215	313	1136
216	313	1132
217	314	1127
218	315	1123
219	315	1119
220	316	1114
221	316	1110
222	317	1105
223	318	1101
224	318	1097
225	319	1093
226	319	1089
227	320	1085
228	321	1080
229	322	1078
230	322	1074
231	323	1071
232	324	1068
233	325	1063
234	325	1060
235	326	1057
236	327	1053
237	327	1049
238	328	1045
239	328	1041
240	329	1038
241	330	1034
242	331	1031
243	331	1027
244	332	1024
245	333	1020
246	333	1017
247	334	1013
248	334	1010
249	335	1006
250	336	1003
251	336	999
252	337	996
253	338	993
254	339	991
255	339	987
256	340	984
257	341	981
258	341	978
259	342	974
260	343	971
261	343	967
262	344	965
263	345	962
264	345	959
265	346	955
266	346	952
267	347	949
268	348	946
269	348	943
270	349	939
271	349	936
272	350	933
273	350	929
274	351	926
275	352	924
276	353	921
277	354	919
278	355	917
279	355	914
280	356	912
281	357	909
282	358	907
283	358	904
284	359	901
285	359	898
286	360	895
287	360	892
288	361	890
289	362	887
290	363	884
291	363	882
292	364	879
293	365	876
294	365	874
295	366	871
296	367	869
297	368	867
298	369	865
299	369	862
300	370	860
301	371	857
302	371	854
303	372	852
304	372	849
305	373	846
306	373	844
307	374	841
308	375	839
309	375	836
310	376	833
311	376	831
312	377	828
313	377	825
314	378	823
315	379	820
316	379	818
317	380	815
318	380	812
319	381	810
320	381	807
321	382	805
322	383	803
323	384	801
324	384	799
325	385	797
326	386	795
327	386	792
328	387	790
329	388	787
330	388	785
331	389	783
332	389	780
333	390	778
334	390	775
335	391	773
336	391	771
337	392	768
338	393	766
339	393	764
340	394	761
341	394	759
342	395	757
343	396	755
344	396	752
345	397	750
346	397	748
347	399	747
348	399	745
349	400	743
350	400	741
351	401	739
352	402	736
353	402	734
354	403	732
355	403	730
356	404	728
357	404	726
358	405	723
359	405	721
360	406	719
361	407	717
362	407	715
363	408	713
364	408	711
365	409	709
366	409	706
367	410	704
368	411	702
369	411	701
370	412	699
371	413	697
372	414	696
373	414	694
374	415	692
375	416	690
376	416	688
377	417	686
378	417	684
379	418	682
380	418	680
381	419	678
382	419	676
383	420	674
384	420	672
385	421	670
386	422	668
387	422	666
388	423	664
389	423	662
390	424	660
391	424	659
392	425	657
393	426	655
394	426	653
395	427	651
396	427	649
397	428	648
398	429	646
399	430	645
400	430	643
401	431	641
402	431	639
403	432	638
404	433	636
405	433	634
406	434	632
407	434	630
408	435	628
409	435	627
410	436	625
411	436	623
412	437	621
413	438	620
414	438	618
415	439	616
416	439	614
417	440	613
418	440	611
419	441	609
420	442	608
421	442	606
422	444	605
423	444	604
424	445	603
425	446	601
426	447	600
427	448	598
428	448	597
429	449	595
430	450	594
431	450	592
432	451	591
433	452	589
434	452	587
435	453	586
436	453	584
437	454	583
438	455	581
439	455	580
440	456	578
441	456	576
442	457	575
443	457	573
444	458	571
445	459	571
446	460	569
447	461	568
448	461	566
449	462	564
450	462	563
451	463	561
452	463	560
453	464	558
454	465	557
455	465	555
456	466	554
457	467	552
458	467	551
459	468	549
460	469	548
461	469	546
462	470	545
463	471	544
464	471	542
465	472	541
466	472	539
467	473	538
468	474	537
469	475	536
470	476	534
471	476	533
472	477	531
473	477	530
474	478	528
475	478	527
476	479	525
477	480	524
478	480	522
479	481	521
480	481	519
481	482	518
482	482	516
483	483	515
484	484	514
485	484	512
486	485	511
487	485	509
488	486	508
489	486	506
490	487	505
491	487	503
492	488	502
493	489	500
494	489	499
495	490	498
496	491	497
497	491	495
498	492	494
499	493	493
500	493	491
501	494	490
502	494	488
503	495	487
504	495	485
505	496	484
506	496	483
507	497	481
508	498	480
509	498	479
510	499	478
511	500	476
512	500	475
513	501	473
514	501	472
515	502	471
516	502	469
517	503	468
518	504	467
519	504	465
520	505	464
521	506	463
522	506	462
523	507	461
524	508	459
525	508	458
526	509	457
527	509	455
528	510	454
529	510	453
530	511	451
531	512	450
532	512	449
533	513	448
534	514	446
535	514	445
536	515	444
537	515	442
538	516	441
539	516	440
540	517	439
541	518	437
542	518	436
543	519	435
544	520	434
545	520	433
546	521	431
547	522	430
548	522	429
549	523	428
550	523	426
551	524	425
552	525	424
553	525	423
554	526	421
555	526	420
